track_id,market,total_streams,rank,track_name,artist,genre_harmonized,year,success_score,danceability,energy,valence
5o5D321mcyVDZDr2AJAErr,DE,1600894.0,109.78571428571429,"OLAJUWON (feat. Bass Sultan Hengzt, Sipo & Fler) - Remix",Farid Bang,Hip-Hop,2020,62.05251322382669,0.8740000000000001,0.738,0.469
0q85C1JiECyYIQthz1posA,UK,1202496.0,107.42857142857143,obvious,Ariana Grande,Pop,2020,62.05048259902253,0.624,0.672,0.26
0zhnWntcmhChM7PXSWuNNq,BR,16482918.0,133.31851851851852,Você Nem É Tudo Isso,"Marília Mendonça, Maiara & Maraisa",Latin,2021,62.04707984293859,0.757,0.807,0.499
719aY5gAzJbx2PHjyalZQu,DE,23562098.0,78.525,Du bist mein,"Zuna, Loredana, SRNO",Hip-Hop,2020,62.04679714506343,0.7609999999999999,0.556,0.521
1ko2lVN0vKGUl9zrU0qSlT,UK,1587217.0,53.95652173913044,Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.",Jazz,2021,62.04505770686114,0.803,0.488,0.624
7uCpwrRNkm6ncwAWByIzW9,DE,4930187.0,88.6969696969697,AF1,Elias,Hip-Hop,2020,62.040097000707775,0.868,0.6759999999999999,0.431
1ptoccc7DlX5s04JbUVA7t,DE,823878.0,101.28571428571429,Du willst es,Kontra K,Hip-Hop,2020,62.02629493637375,0.7490000000000001,0.7290000000000001,0.416
3V9eg9k1ZehjfIaFTEwfEN,DE,3295467.0,70.33333333333333,GENKIDAMA,Farid Bang,Hip-Hop,2020,62.016161180427765,0.569,0.695,0.526
7fQox8Ere1HDm0jhSnsFHu,UK,1424380.0,101.05263157894737,Obey (with YUNGBLUD),Bring Me The Horizon,Other,2020,62.01307277722934,0.462,0.99,0.204
3NxFTRr0692mbC5hD0nEZD,UK,1940679.0,27.555555555555557,Onna Come Up,Lil Eazzyy,Hip-Hop,2020,62.00006240105193,0.7959999999999999,0.426,0.649
4SSnFejRGlZikf02HLewEF,DE,176957.0,181.66666666666666,bury a friend,Billie Eilish,Pop,2020,61.996471456094746,0.905,0.389,0.196
1lO9CZo6eDrOy0S7khgryG,DE,582704.0,130.42857142857142,No Regrets (feat. Don Toliver),Eminem,Hip-Hop,2020,61.99564636357264,0.7559999999999999,0.747,0.0687
